s2v120c1200-1.cnf 	O = 161
s2v120c1200-2.cnf 	O = 159
s2v120c1200-3.cnf 	O = 160
s2v120c1300-1.cnf 	O = 180
s2v120c1300-2.cnf 	O = 172
s2v120c1300-3.cnf 	O = 173
s2v120c1400-1.cnf 	O = 197
s2v120c1400-2.cnf 	O = 191
s2v120c1400-3.cnf 	O = 189
s2v120c1500-1.cnf 	O = 211
s2v120c1500-2.cnf 	O = 213
s2v120c1500-3.cnf 	O = 207
s2v120c1600-1.cnf 	O = 233
s2v120c1600-2.cnf 	O = 239
s2v120c1600-3.cnf 	O = 233
s2v120c1700-1.cnf 	O = 257
s2v120c1700-2.cnf 	O = 248
s2v120c1700-3.cnf 	O = 239
s2v120c1800-1.cnf 	O = 291
s2v120c1800-2.cnf 	O = 262
s2v120c1800-3.cnf 	O = 279
s2v120c1900-1.cnf 	O = 293
s2v120c1900-2.cnf 	O = 296
s2v120c1900-3.cnf 	O = 294
s2v120c2000-1.cnf 	O = 307
s2v120c2000-2.cnf 	O = 321
s2v120c2000-3.cnf 	O = 307
s2v120c2100-1.cnf 	O = 336
s2v120c2100-2.cnf 	O = 336
s2v120c2100-3.cnf 	O = 332
s2v120c2200-1.cnf 	O = 358
s2v120c2200-2.cnf 	O = 371
s2v120c2200-3.cnf 	O = 359
s2v120c2300-1.cnf 	O = 380
s2v120c2300-2.cnf 	O = 383
s2v120c2300-3.cnf 	O = 365
s2v120c2400-1.cnf 	O = 389
s2v120c2400-2.cnf 	O = 402
s2v120c2400-3.cnf 	O = 380
s2v120c2500-1.cnf 	O = 418
s2v120c2500-2.cnf 	O = 435
s2v120c2500-3.cnf 	O = 425
s2v120c2600-1.cnf 	O = 439
s2v120c2600-2.cnf 	O = 458
s2v120c2600-3.cnf 	O = 440
s2v140c1200-1.cnf 	O = 144
s2v140c1200-2.cnf 	O = 155
s2v140c1200-3.cnf 	O = 155
s2v140c1300-1.cnf 	O = 162
s2v140c1300-2.cnf 	O = 171
s2v140c1300-3.cnf 	O = 168
s2v140c1400-1.cnf 	O = 182
s2v140c1400-2.cnf 	O = 178
s2v140c1400-3.cnf 	O = 193
s2v140c1500-1.cnf 	O = 205
s2v140c1500-2.cnf 	O = 199
s2v140c1500-3.cnf 	O = 212
s2v140c1600-1.cnf 	O = 221
s2v140c1600-2.cnf 	O = 221
s2v140c1600-3.cnf 	O = 226
s2v140c1700-1.cnf 	O = 254
s2v140c1700-2.cnf 	O = 242
s2v140c1700-3.cnf 	O = 236
